donor_id,donor_name,donor_age,donor_color,sample_well,sample_polygon,sample_mri_0,sample_mri_1,sample_mri_2,structure_id,structure_name,structure_abbreviation,structure_color,top_level_structure_id,top_level_structure_name,top_level_structure_abbreviation,top_level_structure_color
12876,"H0351.1009","57 years","509800",-1,-1,-1,-1,-1,4056,"posterior orbital gyrus","POrG","E8D459",4009,"frontal lobe","FL","E8CD59"
14380,"H0351.1012","31 years","960050",126426427,1395899,113,132,58,4056,"posterior orbital gyrus","POrG","E8D459",4009,"frontal lobe","FL","E8CD59"
15496,"H0351.1015","49 years","C2C200",127687119,123622766,112,135,73,4056,"posterior orbital gyrus","POrG","E8D459",4009,"frontal lobe","FL","E8CD59"
15697,"H0351.1016","55 years","EB3B00",157772964,155818765,118,119,49,4056,"posterior orbital gyrus","POrG","E8D459",4009,"frontal lobe","FL","E8CD59"
9861,"H0351.2001","24 years","EC891D",1010,39374,123,49,90,4010,"precentral gyrus","PrG","E8D659",4009,"frontal lobe","FL","E8CD59"
10021,"H0351.2002","39 years","0079C0",4572,978417,139,70,70,4010,"precentral gyrus","PrG","E8D659",4009,"frontal lobe","FL","E8CD59"
12876,"H0351.1009","57 years","509800",11156,1270926,136,78,86,4010,"precentral gyrus","PrG","E8D659",4009,"frontal lobe","FL","E8CD59"
14380,"H0351.1012","31 years","960050",126432536,1407923,118,55,96,4010,"precentral gyrus","PrG","E8D659",4009,"frontal lobe","FL","E8CD59"
15496,"H0351.1015","49 years","C2C200",139409887,126709266,133,55,91,4010,"precentral gyrus","PrG","E8D659",4009,"frontal lobe","FL","E8CD59"
15697,"H0351.1016","55 years","EB3B00",157772990,156435093,119,46,93,4010,"precentral gyrus","PrG","E8D659",4009,"frontal lobe","FL","E8CD59"
9861,"H0351.2001","24 years","EC891D",970,39363,95,37,86,4021,"superior frontal gyrus","SFG","E8D959",4009,"frontal lobe","FL","E8CD59"
10021,"H0351.2002","39 years","0079C0",4683,991116,101,62,47,4021,"superior frontal gyrus","SFG","E8D959",4009,"frontal lobe","FL","E8CD59"
12876,"H0351.1009","57 years","509800",11100,1269855,95,43,74,4021,"superior frontal gyrus","SFG","E8D959",4009,"frontal lobe","FL","E8CD59"
14380,"H0351.1012","31 years","960050",126434319,1395887,103,55,55,4021,"superior frontal gyrus","SFG","E8D959",4009,"frontal lobe","FL","E8CD59"
15496,"H0351.1015","49 years","C2C200",127687113,121129787,114,71,42,4021,"superior frontal gyrus","SFG","E8D959",4009,"frontal lobe","FL","E8CD59"
15697,"H0351.1016","55 years","EB3B00",159226053,156499542,93,52,94,4021,"superior frontal gyrus","SFG","E8D959",4009,"frontal lobe","FL","E8CD59"
9861,"H0351.2001","24 years","EC891D",233,28093,89,75,32,4897,"superior rostral gyrus","SRoG","E8DB59",4009,"frontal lobe","FL","E8CD59"
10021,"H0351.2002","39 years","0079C0",4587,977531,100,88,25,4897,"superior rostral gyrus","SRoG","E8DB59",4009,"frontal lobe","FL","E8CD59"
12876,"H0351.1009","57 years","509800",-1,-1,-1,-1,-1,4897,"superior rostral gyrus","SRoG","E8DB59",4009,"frontal lobe","FL","E8CD59"
14380,"H0351.1012","31 years","960050",126426441,1395882,98,122,45,4897,"superior rostral gyrus","SRoG","E8DB59",4009,"frontal lobe","FL","E8CD59"
15496,"H0351.1015","49 years","C2C200",127687001,121081990,95,123,31,4897,"superior rostral gyrus","SRoG","E8DB59",4009,"frontal lobe","FL","E8CD59"
15697,"H0351.1016","55 years","EB3B00",157772978,155735101,95,106,37,4897,"superior rostral gyrus","SRoG","E8DB59",4009,"frontal lobe","FL","E8CD59"
9861,"H0351.2001","24 years","EC891D",907,39004,129,92,89,4269,"long insular gyri","LIG","FFF161",4268,"insula","Ins","FEFF61"
10021,"H0351.2002","39 years","0079C0",5113,994824,126,79,91,4269,"long insular gyri","LIG","FFF161",4268,"insula","Ins","FEFF61"
12876,"H0351.1009","57 years","509800",11318,1280037,132,104,100,4269,"long insular gyri","LIG","FFF161",4268,"insula","Ins","FEFF61"
14380,"H0351.1012","31 years","960050",126432572,1407830,133,120,97,4269,"long insular gyri","LIG","FFF161",4268,"insula","Ins","FEFF61"
15496,"H0351.1015","49 years","C2C200",139409793,126712343,133,109,92,4269,"long insular gyri","LIG","FFF161",4268,"insula","Ins","FEFF61"
15697,"H0351.1016","55 years","EB3B00",159226173,156685754,127,110,107,4269,"long insular gyri","LIG","FFF161",4268,"insula","Ins","FEFF61"
9861,"H0351.2001","24 years","EC891D",961,28153,127,84,57,4272,"short insular gyri","SIG","EFFF61",4268,"insula","Ins","FEFF61"
10021,"H0351.2002","39 years","0079C0",4589,978621,124,80,71,4272,"short insular gyri","SIG","EFFF61",4268,"insula","Ins","FEFF61"
12876,"H0351.1009","57 years","509800",11326,1280038,134,96,99,4272,"short insular gyri","SIG","EFFF61",4268,"insula","Ins","FEFF61"
14380,"H0351.1012","31 years","960050",126432588,1407828,131,100,97,4272,"short insular gyri","SIG","EFFF61",4268,"insula","Ins","FEFF61"
15496,"H0351.1015","49 years","C2C200",139409823,125142345,125,104,81,4272,"short insular gyri","SIG","EFFF61",4268,"insula","Ins","FEFF61"
15697,"H0351.1016","55 years","EB3B00",157772894,156432772,132,105,86,4272,"short insular gyri","SIG","EFFF61",4268,"insula","Ins","FEFF61"
9861,"H0351.2001","24 years","EC891D",866,38632,102,65,73,4221,"cingulate gyrus, frontal part","CgGf","7F5B33",4220,"cingulate gyrus","CgG","7F6233"
10021,"H0351.2002","39 years","0079C0",4665,982050,100,75,39,4221,"cingulate gyrus, frontal part","CgGf","7F5B33",4220,"cingulate gyrus","CgG","7F6233"
12876,"H0351.1009","57 years","509800",11108,1269856,95,66,74,4221,"cingulate gyrus, frontal part","CgGf","7F5B33",4220,"cingulate gyrus","CgG","7F6233"
14380,"H0351.1012","31 years","960050",126432088,1407321,99,71,88,4221,"cingulate gyrus, frontal part","CgGf","7F5B33",4220,"cingulate gyrus","CgG","7F6233"
15496,"H0351.1015","49 years","C2C200",139409921,126712218,93,65,90,4221,"cingulate gyrus, frontal part","CgGf","7F5B33",4220,"cingulate gyrus","CgG","7F6233"
15697,"H0351.1016","55 years","EB3B00",159226069,156499541,99,62,94,4221,"cingulate gyrus, frontal part","CgGf","7F5B33",4220,"cingulate gyrus","CgG","7F6233"
9861,"H0351.2001","24 years","EC891D",997,39592,100,59,86,4228,"cingulate gyrus, parietal part","CgGp","7F6233",4220,"cingulate gyrus","CgG","7F6233"
10021,"H0351.2002","39 years","0079C0",4827,997596,101,57,109,4228,"cingulate gyrus, parietal part","CgGp","7F6233",4220,"cingulate gyrus","CgG","7F6233"
12876,"H0351.1009","57 years","509800",11336,1283510,94,72,137,4228,"cingulate gyrus, parietal part","CgGp","7F6233",4220,"cingulate gyrus","CgG","7F6233"
14380,"H0351.1012","31 years","960050",126434399,1408337,98,63,109,4228,"cingulate gyrus, parietal part","CgGp","7F6233",4220,"cingulate gyrus","CgG","7F6233"
15496,"H0351.1015","49 years","C2C200",141667117,127554738,96,90,153,4228,"cingulate gyrus, parietal part","CgGp","7F6233",4220,"cingulate gyrus","CgG","7F6233"
15697,"H0351.1016","55 years","EB3B00",159226149,156950591,94,68,117,4228,"cingulate gyrus, parietal part","CgGp","7F6233",4220,"cingulate gyrus","CgG","7F6233"
9861,"H0351.2001","24 years","EC891D",-1,-1,-1,-1,-1,4235,"cingulate gyrus, retrosplenial part","CgGr","7F6933",4220,"cingulate gyrus","CgG","7F6233"
10021,"H0351.2002","39 years","0079C0",4851,997597,95,70,109,4235,"cingulate gyrus, retrosplenial part","CgGr","7F6933",4220,"cingulate gyrus","CgG","7F6233"
12876,"H0351.1009","57 years","509800",-1,-1,-1,-1,-1,4235,"cingulate gyrus, retrosplenial part","CgGr","7F6933",4220,"cingulate gyrus","CgG","7F6233"
14380,"H0351.1012","31 years","960050",126435073,112191356,93,76,138,4235,"cingulate gyrus, retrosplenial part","CgGr","7F6933",4220,"cingulate gyrus","CgG","7F6233"
15496,"H0351.1015","49 years","C2C200",141667177,127512019,109,111,144,4235,"cingulate gyrus, retrosplenial part","CgGr","7F6933",4220,"cingulate gyrus","CgG","7F6233"
